,symptom_probability
irregular appearing nails,0.006254683207060195
itching of skin,0.04267962700857547
hurts to breath,0.01074015485804679
"skin dryness, peeling, scaliness, or roughness",0.03373990508700358
skin irritation,0.031096494879693615
itchy scalp,0.010552826575638998
warts,0.015350512030638582
skin rash,0.054418866039463824
mass or swelling around the anus,0.004256514861377071
ankle swelling,0.012769544584131213
elbow swelling,0.013029722754142036
bleeding from ear,0.004090000832570144
hand or finger weakness,0.004277329114977937
low self-esteem,0.015215219382232954
itching of the anus,0.008315294313545916
swollen or red tonsils,0.004204479227374906
hip stiffness or tightness,0.006369161601864957
mouth pain,0.006317125967862792
arm weakness,0.01470527016901174
obsessions and compulsions,0.004423028890183998
antisocial behavior,0.004246107734576638
sneezing,0.010885854633252852
leg weakness,0.01548580467904421
hysterical behavior,0.004433436016984431
arm lump or mass,0.004183664973774041
bleeding gums,0.004214886354175339
pain in gums,0.010355091166430772
diaper rash,0.004433436016984431
hesitancy,0.006223461826658896
back stiffness or tightness,0.004266921988177504
low urine output,0.006296311714261926
